,Ship Mode,First Class,,,Same Day,,,Second Class,,,Standard Class,,
,Segment,Consumer,Corporate,Home Office,Consumer,Corporate,Home Office,Consumer,Corporate,Home Office,Consumer,Corporate,Home Office
Order ID,Order Date,,,,,,,,,,,,
CA-2011-100293,41347,,,,,,,,,,,,91.056
CA-2011-100706,41624,,,,,,,129.44,,,,,
CA-2011-100895,41427,,,,,,,,,,605.47,,
CA-2011-100916,41568,,,,,,,,,,,788.86,
CA-2011-101266,41513,,,,,,,13.36,,,,,
CA-2011-101560,41606,,,,,,,,542.34,,,,
CA-2011-101770,41364,,,,,,,,,,,1.869,
CA-2011-102274,41599,,,,,,,,,,,865.5,
CA-2011-102673,41579,,,,,,,,,,,1044.44,
CA-2011-102988,41369,,,,,,,,4251.92,,,,
CA-2011-103317,41460,,242.546,,,,,,,,,,
CA-2011-103366,41289,149.95,,,,,,,,,,,
CA-2011-103807,41610,,,,,,,,,,,21.19,
CA-2011-103989,41352,,590.762,,,,,,,,,,
CA-2011-104283,41452,,,,,,,,,,616.14,,
CA-2011-106054,41280,,12.78,,,,,,,,,,
CA-2011-106810,41408,,,,,,,,,,,310.88,
CA-2011-107573,41620,,,,,,,,,,23.472,,
CA-2011-107811,41393,,,,,,,,,,,661.504,
CA-2011-108707,41571,,,,,,,,,,,,10.368
CA-2011-109043,41501,243.6,,,,,,,,,,,
CA-2011-109232,41287,,,,,,,545.94,,,,,
CA-2011-110100,41389,,,,,,,,,,302.376,,
CA-2011-110408,41565,,,,,,,,2216.8,,,,
CA-2011-110422,41295,,,,,,,25.248,,,,,
CA-2011-111500,41503,,,,,,,,,,,484.79,
CA-2011-111934,41399,,47.32,,,,,,,,,,
CA-2011-112718,41624,,,,,,,,,,,1.167,
CA-2011-113047,41571,,,,11.85,,,,,,,,
CA-2011-113166,41632,9.568,,,,,,,,,,,
CA-2011-114314,41558,,,,,,,,,,,16.23,
CA-2011-114321,41506,,,,,,,,,,,1417.35,
CA-2011-114335,41545,,,,,,,,,,337.088,,
CA-2011-114790,41344,,,,,,,,782.63,,,,
CA-2011-115084,41565,,,,,,,,,,,605.34,
CA-2011-115357,41492,,,,,,,62.91,,,,,
CA-2011-116190,41481,,,,,,,,,,256.48,,
CA-2011-116239,41337,,,,354.9,,,,,,,,
CA-2011-116407,41593,,,,,,,,,,362.176,,
CA-2011-116568,41622,,,,,,,,,,186.304,,
CA-2011-117016,41337,,,,,,,,,,15.552,,
CA-2011-117345,41487,,,,,,,,,,,202.896,
CA-2011-117639,41415,,,,,,,,,,,3333.9,
CA-2011-120432,41510,,,,,,,,25.5,,,,
CA-2011-120670,41580,,,,,,,,,,,,799.92
CA-2011-120768,41627,,,,,,,1979.89,,,,,
CA-2011-120950,41584,,,,,,,,,,43.68,,
CA-2011-121286,41582,,,,,,,,66.616,,,,
CA-2011-122217,41602,,,,,,,,,,,,111.15
CA-2011-123400,41307,,,,,,,,,,199.296,,
CA-2011-123925,41625,,,,,,,40.05,,,,,
CA-2011-124023,41371,8.96,,,,,,,,,,,
CA-2011-124618,41396,,,,,,,479.984,,,,,
CA-2011-124688,41513,,1812.01,,,,,,,,,,
CA-2011-125136,41545,,,,,,,,,,,106.944,
CA-2011-125682,41600,,9.96,,,,,,,,,,
CA-2011-127299,41536,,,,,,,,,,2692.329,,
CA-2011-127488,41539,,,,,,,4.608,,,,,
CA-2011-127614,41316,,,,,,,,,,1508.13,,
CA-2011-128839,41525,,,,,,,,,,254.97,,
CA-2011-128846,41371,,,,,,,,,,,752.92,
CA-2011-129091,41600,,,,,,,,,,,1022.61,
CA-2011-129819,41621,,,,,,,,12.39,,,,
CA-2011-130155,41413,34.2,,,,,,,,,,,
CA-2011-130428,41364,,,,1142.165,,,,,,,,
