Ship Mode,Segment,Order ID,Order Date,Sales
First Class,Consumer,CA-2011-103366,41289,149.95
First Class,Consumer,CA-2011-109043,41501,243.6
First Class,Consumer,CA-2011-113166,41632,9.568
First Class,Consumer,CA-2011-124023,41371,8.96
First Class,Consumer,CA-2011-130155,41413,34.2
First Class,Consumer,CA-2011-136861,41522,31.984
First Class,Consumer,CA-2011-153927,41498,286.65
First Class,Consumer,CA-2011-157784,41460,514.03
First Class,Consumer,CA-2011-160094,41394,1000.95
First Class,Consumer,CA-2011-164749,41356,9.912
First Class,Consumer,CA-2011-166730,41638,39.128
First Class,Consumer,CA-2012-102722,41747,106.5
First Class,Consumer,CA-2012-102778,41964,18.176
First Class,Consumer,CA-2012-117828,41996,194.32
First Class,Consumer,CA-2012-130218,41721,59.48
First Class,Consumer,CA-2012-132318,41942,182.91
First Class,Consumer,CA-2012-137974,41745,2298.9
First Class,Consumer,CA-2012-138625,41945,197.72
First Class,Consumer,CA-2012-141327,41973,440.144
First Class,Consumer,CA-2012-149300,41965,32.985
First Class,Consumer,CA-2012-150560,41984,196.62
First Class,Consumer,CA-2012-165414,41994,47.976
First Class,Consumer,CA-2013-102092,42348,1056.86
First Class,Consumer,CA-2013-102498,42210,73.2
First Class,Consumer,CA-2013-110492,42047,1366.04
First Class,Consumer,CA-2013-119515,42231,15.552
First Class,Consumer,CA-2013-119823,42160,75.88
First Class,Consumer,CA-2013-124772,42344,191.82
First Class,Consumer,CA-2013-125843,42230,125.92
First Class,Consumer,CA-2013-130442,42355,34.944
First Class,Consumer,CA-2013-133872,42170,58.4
First Class,Consumer,CA-2013-145247,42130,79.14
First Class,Consumer,CA-2013-145499,42155,3.282
First Class,Consumer,CA-2013-147368,42165,695.7
First Class,Consumer,CA-2013-157280,42314,1120.73
First Class,Consumer,CA-2013-157364,42328,18.48
First Class,Consumer,CA-2013-164784,42126,377.346
First Class,Consumer,CA-2014-103212,42656,1541.51
First Class,Consumer,CA-2014-105620,42729,141
First Class,Consumer,CA-2014-108287,42722,12.672
First Class,Consumer,CA-2014-109589,42725,71
First Class,Consumer,CA-2014-110198,42491,318.96
First Class,Consumer,CA-2014-112774,42624,34.504
First Class,Consumer,CA-2014-115448,42685,88.92
First Class,Consumer,CA-2014-121314,42636,251.64
First Class,Consumer,CA-2014-121818,42694,52.696
First Class,Consumer,CA-2014-122154,42469,284.19
First Class,Consumer,CA-2014-122994,42407,359.97
First Class,Consumer,CA-2014-125472,42520,253.86
First Class,Consumer,CA-2014-126774,42475,4.89
First Class,Consumer,CA-2014-133235,42583,271.96
First Class,Consumer,CA-2014-138779,42384,29.664
First Class,Consumer,CA-2014-143756,42706,701.96
First Class,Consumer,CA-2014-151218,42541,4.464
First Class,Consumer,CA-2014-156769,42496,54.66
First Class,Consumer,CA-2014-158729,42723,1665.62
First Class,Consumer,CA-2014-158967,42714,19.104
First Class,Consumer,CA-2014-161053,42635,726.91
First Class,Consumer,CA-2014-162635,42652,10.816
First Class,Consumer,CA-2014-163335,42637,79
First Class,Consumer,US-2011-130358,41448,23.12
First Class,Consumer,US-2012-106495,41805,11.672
First Class,Consumer,US-2013-106600,42103,354.9
First Class,Consumer,US-2013-113649,42226,645.136
First Class,Consumer,US-2013-116400,42300,39.92
First Class,Consumer,US-2013-119298,42334,59.98
First Class,Consumer,US-2013-131891,42215,2.214
First Class,Consumer,US-2013-162677,42090,187.616
First Class,Consumer,US-2013-167472,42162,678.87
First Class,Consumer,US-2014-108063,42706,34.65
First Class,Consumer,US-2014-133781,42543,37.608
First Class,Consumer,US-2014-148831,42656,348.56
First Class,Corporate,CA-2011-103317,41460,242.546
First Class,Corporate,CA-2011-103989,41352,590.762
First Class,Corporate,CA-2011-106054,41280,12.78
First Class,Corporate,CA-2011-111934,41399,47.32
First Class,Corporate,CA-2011-124688,41513,1812.01
First Class,Corporate,CA-2011-125682,41600,9.96
First Class,Corporate,CA-2011-131905,41311,321.56
First Class,Corporate,CA-2011-163293,41525,116.85
First Class,Corporate,CA-2011-169684,41567,426.942
First Class,Corporate,CA-2012-104038,41676,176.63
First Class,Corporate,CA-2012-121720,41801,3165.744
First Class,Corporate,CA-2012-133396,41864,64.68
First Class,Corporate,CA-2012-140718,41822,246.364
First Class,Corporate,CA-2012-154746,41957,860.07
First Class,Corporate,CA-2012-156734,41808,670.001
First Class,Corporate,CA-2012-158323,41973,17.088
First Class,Corporate,CA-2013-112676,42130,14.352
First Class,Corporate,CA-2013-127208,42168,224.9
First Class,Corporate,CA-2013-133711,42335,3236.41
First Class,Corporate,CA-2013-153318,42303,783.96
First Class,Corporate,CA-2013-160598,42243,31.008
First Class,Corporate,CA-2013-162901,42092,31.4
First Class,Corporate,CA-2014-113481,42372,740.214
First Class,Corporate,CA-2014-115882,42627,1017.136
First Class,Corporate,CA-2014-117695,42587,13.76
First Class,Corporate,CA-2014-122707,42476,503.22
First Class,Corporate,CA-2014-123687,42516,234.2
First Class,Corporate,CA-2014-124828,42554,9.552
First Class,Corporate,CA-2014-129028,42461,127.95
First Class,Corporate,CA-2014-134810,42499,272.232
First Class,Corporate,CA-2014-147760,42678,1883.724
First Class,Corporate,CA-2014-155698,42437,668.54
First Class,Corporate,CA-2014-159464,42508,524.85
First Class,Corporate,CA-2014-161851,42475,15.57
First Class,Corporate,US-2012-131842,41978,97.424
First Class,Corporate,US-2013-101616,42251,87.28
First Class,Corporate,US-2013-140809,42036,56.45
First Class,Corporate,US-2013-153815,42315,368.432
First Class,Corporate,US-2014-128951,42566,1065.84
First Class,Corporate,US-2014-162208,42609,2.896
First Class,Home Office,CA-2011-132010,41560,389.74
First Class,Home Office,CA-2011-136567,41628,2884.37
First Class,Home Office,CA-2011-140165,41407,405.456
First Class,Home Office,CA-2013-149454,42211,10.44
First Class,Home Office,CA-2013-159142,42099,177.78
First Class,Home Office,CA-2013-162159,42264,121.78
First Class,Home Office,CA-2014-121419,42462,771.8
First Class,Home Office,CA-2014-132213,42485,109.968
First Class,Home Office,CA-2014-144456,42621,220.056
First Class,Home Office,CA-2014-155292,42673,204.98
First Class,Home Office,US-2013-158309,42335,3.744
First Class,Home Office,US-2014-162558,42645,2437.672
Same Day,Consumer,CA-2011-113047,41571,11.85
Same Day,Consumer,CA-2011-116239,41337,354.9
Same Day,Consumer,CA-2011-130428,41364,1142.165
Same Day,Consumer,CA-2011-131541,41483,193.152
Same Day,Consumer,CA-2011-142951,41555,23.472
Same Day,Consumer,CA-2011-152254,41455,310.688
Same Day,Consumer,CA-2012-117884,41720,598.352
Same Day,Consumer,CA-2012-136224,41790,10.272
Same Day,Consumer,CA-2012-155068,41935,78.456
Same Day,Consumer,CA-2013-101378,42200,29
Same Day,Consumer,CA-2013-105256,42145,1363.96
Same Day,Consumer,CA-2013-106894,42042,107.83
Same Day,Consumer,CA-2013-127698,42340,863.928
Same Day,Consumer,CA-2013-143308,42313,10.74
Same Day,Consumer,CA-2013-144344,42306,314.393
Same Day,Consumer,CA-2013-152163,42187,85.5
Same Day,Consumer,CA-2013-152471,42194,839.944
Same Day,Consumer,CA-2013-159653,42147,14.73
Same Day,Consumer,CA-2014-103065,42663,59.824
Same Day,Consumer,CA-2014-122987,42598,80.564
Same Day,Consumer,CA-2014-144498,42496,817.829
Same Day,Consumer,CA-2014-158883,42523,25.344
Same Day,Consumer,US-2011-114377,41583,149.9
Same Day,Consumer,US-2013-134761,42339,36.192
Same Day,Consumer,US-2013-148803,42350,85.224
Same Day,Consumer,US-2013-156692,42230,89.32
Same Day,Consumer,US-2014-120607,42509,195.64
Same Day,Consumer,US-2014-152492,42557,239.24
Same Day,Corporate,CA-2011-158771,41403,158.71
Same Day,Corporate,CA-2013-130820,42324,630.024
Same Day,Corporate,CA-2014-161046,42434,839.25
Same Day,Corporate,US-2012-130519,41897,111.904
Same Day,Corporate,US-2014-168116,42678,8167.42
Same Day,Home Office,CA-2011-165806,41371,259.29
Same Day,Home Office,CA-2012-100769,41775,255.968
Same Day,Home Office,CA-2013-136126,42149,261.1
Same Day,Home Office,CA-2014-133095,42525,117.62
Same Day,Home Office,CA-2014-149146,42655,7.968
Same Day,Home Office,US-2013-108504,42040,2075.51
Second Class,Consumer,CA-2011-100706,41624,129.44
Second Class,Consumer,CA-2011-101266,41513,13.36
Second Class,Consumer,CA-2011-109232,41287,545.94
Second Class,Consumer,CA-2011-110422,41295,25.248
Second Class,Consumer,CA-2011-115357,41492,62.91
Second Class,Consumer,CA-2011-120768,41627,1979.89
Second Class,Consumer,CA-2011-123925,41625,40.05
Second Class,Consumer,CA-2011-124618,41396,479.984
Second Class,Consumer,CA-2011-127488,41539,4.608
Second Class,Consumer,CA-2011-130918,41508,7.632
Second Class,Consumer,CA-2011-132612,41434,1441.3
Second Class,Consumer,CA-2011-142727,41393,69.9
Second Class,Consumer,CA-2011-145576,41531,26.128
Second Class,Consumer,CA-2011-154158,41631,619.848
Second Class,Consumer,CA-2011-155852,41336,19.456
Second Class,Consumer,CA-2011-156006,41394,47.79
Second Class,Consumer,CA-2011-156790,41494,155.456
Second Class,Consumer,CA-2011-158470,41383,129.33
Second Class,Consumer,CA-2011-166457,41399,40.54
Second Class,Consumer,CA-2011-169775,41515,709.0425
Second Class,Consumer,CA-2012-109386,41951,750.93
Second Class,Consumer,CA-2012-110345,41707,4.608
Second Class,Consumer,CA-2012-116638,41667,4297.644
Second Class,Consumer,CA-2012-128027,41896,269.49
Second Class,Consumer,CA-2012-134257,41714,498.93
Second Class,Consumer,CA-2012-150749,41727,5.56
Second Class,Consumer,CA-2012-153325,41699,58.72
Second Class,Consumer,CA-2012-153752,41979,173.94
Second Class,Consumer,CA-2012-155600,41977,1635.018
Second Class,Consumer,CA-2012-169733,41934,9.952
Second Class,Consumer,CA-2013-101525,42126,140.52
Second Class,Consumer,CA-2013-109722,42344,1284.8
Second Class,Consumer,CA-2013-113292,42082,871.8
Second Class,Consumer,CA-2013-116918,42279,36.364
Second Class,Consumer,CA-2013-120873,42305,290.98
Second Class,Consumer,CA-2013-123176,42275,31.83
Second Class,Consumer,CA-2013-131065,42323,513.52
Second Class,Consumer,CA-2013-136231,42253,228.586
Second Class,Consumer,CA-2013-137043,42362,859.14
Second Class,Consumer,CA-2013-140543,42185,191.88
Second Class,Consumer,CA-2013-141180,42140,7.764
Second Class,Consumer,CA-2013-149783,42252,131.104
Second Class,Consumer,CA-2013-149979,42271,487.22
Second Class,Consumer,CA-2013-152156,42317,993.9
Second Class,Consumer,CA-2013-154690,42232,225.296
Second Class,Consumer,CA-2013-155670,42230,21.504
Second Class,Consumer,CA-2013-158841,42037,8805.04
Second Class,Consumer,CA-2013-159765,42134,27.86
Second Class,Consumer,CA-2013-162355,42186,1302.83
Second Class,Consumer,CA-2013-164735,42109,81.2
Second Class,Consumer,CA-2013-168753,42154,1002.7
